id,Dialogue_id,Utterance_id,Sentence,Speaker,Label
7279,1,0,"Hey, dad, I want to sign up for hockey.",Teddy,0
7280,1,1,"No, you don't.",Gabe,0
7281,1,2,"Yeah, I do.",PJ,0
7282,1,3,"No, you don't! Keep your voice down.",Charlie,0
7283,1,4,"Why? What's wrong with hockey? Shh shh shh! Did someone say hockey? N-no, honey.",Gabe,0
7284,1,5,I said I was feeling a little Stocky.,PJ,0
7285,1,6,I heard the word hockey come up from the air vent.,Charlie,0
7286,1,7,I asked if I could play hockey and then dad got all weird.,Spencer,1
7287,1,8,I have been dreaming of the day.,Teddy,0
7288,1,9,When one of my kids strapped on the skates.,Spencer,0
7289,1,10,And followed in mama's footsteps.,PJ,0
7290,1,11,I feel a story coming on.,Spencer,1
7291,1,12,I was the star.,Gabe,0
7292,1,13,Of the southwest Denver community college lady icers.,Spencer,0
7293,1,14,You even had a cute nickname.,Gabe,0
7294,1,15,They called me 'psycho.,Charlie,1
7295,1,16,' Broke the league record for penalty minutes.,PJ,0
7296,1,17,And that's why they called me - Psycho.,Spencer,0
7297,1,18,I got it.,Teddy,0
7298,1,19,"Can I play hockey? Not only can you play hockey, I'm gonna teach you everything I know about the sport.",Spencer,1
7299,1,20,"No, that's okay, mom.",Charlie,0
7300,1,21,They actually have coaches.,Spencer,0
7301,1,22,Coach I'll be your coach! - Great idea! - Coach psycho.,Teddy,1
7302,1,23,Psycho.,Spencer,0
7303,1,24,"That's right, Charlie.",Charlie,0
7304,1,25,Mommy's psycho.,PJ,0
7305,1,26,"Today's all burnt toast 鈾?Running late and dad jokes 鈾?'Has anybody seen my left shoe?' 鈾?I close my eyes, take a bite 鈾?Grab a ride, laugh out loud 鈾?鈾猅here it is up on the roof 鈾?I've been there, I've survived 鈾?So just take my advice 鈾?Hang in there, baby 鈾?Things are crazy 鈾?But I know your future's bright 鈾?Hang in there, baby 鈾?There's no maybe 鈾?Everything turns out all right 鈾?Your life is up and down 鈾?But trust me, it comes back around 鈾?You're gonna love who you turn out to be 鈾?Hang in there, baby.",Gabe,0
7306,1,27,"鈾?- Okay, see you tomorrow, babe.",Spencer,0
7307,1,28,Okay.,Charlie,1
7308,1,29,"Oh, hey, Derek, I was wondering if maybe after school.",PJ,1
7309,1,30,"You wanna go mini golfing? - Eh, whatever.",Charlie,0
7310,1,31,"Okay, so, um, is that a whatever like 'I don't wanna go,' or a whatever like 'mini golf, wow!'? Whichever.",Teddy,0
7311,1,32,"Okay okay, so is that a whichever like 'whatever' Or a whichever like 'mini golf, wow!'? - No worries.",Charlie,0
7312,1,33,Whatever.,Skyler,1
7313,1,34,"'kay, see you, babe.",Charlie,0
7314,1,35,Okay.,Skyler,0
7315,1,36,"Ivy, can I ask you something? - Sure, what's up? - It's about Derek.",Gabe,0
7316,1,37,And I want you to be completely honest.,PJ,0
7317,1,38,"You know, we've been going out for a while.",Skyler,1
7318,1,39,"And at first it was fun and everything, but now I'm kinda wondering if maybe I should Dump his sorry butt! - Whoa.",Gabe,0
7319,1,40,Do it! Now.,PJ,0
7320,1,41,He's probably still out there.,Skyler,0
7321,1,42,I'll go get him.,PJ,0
7322,1,43,"Whoa, Ivy, Ivy, wait! I don't mean right now.",Gabe,1
7323,1,44,I've never broken up with somebody before and I'm kind of nervous about it.,Teddy,0
7324,1,45,There's nothing to be nervous about.,Skyler,0
7325,1,46,"Well, I I don't know.",Charlie,0
7326,1,47,It's easy.,Skyler,1
7327,1,48,Look.,Gabe,0
7328,1,49,Just pretend I'm Derek and break up with me.,PJ,0
7329,1,50,"If it helps, I'll put a stupid look on my face and breathe through my mouth.",Skyler,1
7330,1,51,"Um No, I'm not gonna practice breaking up with somebody.",PJ,0
7331,1,52,"I mean, how hard can it be? I just tell Derek how I feel nicely And then we both go on with our lives.",Skyler,0
7332,1,53,Heh heh.,PJ,0
7333,1,54,Whatever.,Teddy,1
7334,1,55,"Okay, could you stop doing that, please? Ehhh, I like it.",Charlie,0
7335,1,56,It's relaxing.,Skyler,0
7336,1,57,I feel like my brain's on vacation.,PJ,0
7337,1,58,"Okay, people, listen up.",Skyler,1
7338,1,59,The geniuses at corporate have come up with a new menu item.,Gabe,0
7339,1,60,They are called chicken slivers.,Teddy,1
7340,1,61,What's a sliver? Is it like a nugget? - No.,Skyler,1
7341,1,62,Is it like a tender? - Nope.,Charlie,0
7342,1,63,"Does it have chicken in it? - According to legal, The answer to that question is 'possibly.",Skyler,0
7343,1,64,"' And remember, they're not just chicken slivers, They are corporal kwikki's chicken slivers, In honor of our founder, corporal bull s.",PJ,0
7344,1,65,Kwikki.,Gabe,1
7345,1,66,What's he a corporal of? - Lip-smacking goodness.,Skyler,0
7346,1,67,Which is also the title of his autobiography.,Teddy,0
7347,1,68,"Okay, minimum wagers paychecks.",Skyler,1
7348,1,69,Thanks.,PJ,1
7349,1,70,Thank you.,Skyler,0
7350,1,71,"Mitch, aren't we supposed to be making minimum wage? It's the law.",Teddy,0
7351,1,72,My dad told me about it.,Skyler,0
7352,1,73,"Never talk to your parents! Seriously, guys, what happens here is sacred.",Charlie,1
7353,1,74,This is a safe place.,Skyler,0
7354,1,75,Wait a minute.,Teddy,1
7355,1,76,'minimum' means the least.,Skyler,0
7356,1,77,"We're making less than the least? Okay, doors opening, Let's feed the world, huh? Isn't there something you can do about our salary? - Why me? - You're the smartest one here.",,1
7357,1,78,I am? But my foot's in a mop bucket.,PJ,1
7358,1,79,"Yeah, but you know how to get it out.",Teddy,0
7359,1,80,I thought we were going to the ice rink.,Skyler,0
7360,1,81,No.,Charlie,0
7361,1,82,You can't go anywhere near the ice until you learn the fundamentals.,Skyler,1
7362,1,83,Sounds boring.,PJ,0
7363,1,84,It's not boring.,Skyler,0
7364,1,85,"It's fun! Come on, you can't spell fundamental without 'fun.",Gabe,0
