id,Dialogue_id,Utterance_id,Sentence,Speaker,Label
5382,1,0,Teddy.,Bob,0.0
5383,1,1,"Great! - Teddy, I've got to talk - Oh you're kidding.",Teddy,0.0
5384,1,2,Then what happened? Wow.,Teddy,0.0
5385,1,3,Hold on.,Teddy,0.0
5386,1,4,I'm getting another call.,Teddy,0.0
5387,1,5,Really? Really.,Teddy,0.0
5388,1,6,Hold on.,Teddy,0.0
5389,1,7,I've got to call you back.,Teddy,0.0
5390,1,8,What? - What? I just opened up the phone bill.,Bob,0.0
5391,1,9,You are $90 over your texting limit.,Bob,0.0
5392,1,10,"What have you got to say about that? 'I love you, daddy'? Come on, Teddy, this is so irresponsible.",Bob,0.0
5393,1,11,I expect more from you.,Bob,0.0
5394,1,12,Hold on.,Teddy,0.0
5395,1,13,I'm getting a text.,Teddy,0.0
5396,1,14,"No, you're not, 'cause I'm taking your phone away.",Bob,0.0
5397,1,15,"What? No, you can't do that.",Teddy,0.0
5398,1,16,Taking away my phone would be like taking away your pizza.,Teddy,1.0
5399,1,17,You're fighting for your phone.,Bob,0.0
5400,1,18,"By calling me fat? Well, I'm just really mad.",Bob,0.0
5401,1,19,"I love you, daddy.",Teddy,0.0
5402,1,20,I'll tell you what You'll get your phone back.,Bob,0.0
5403,1,21,When you come up with 90 bucks.,Bob,0.0
5404,1,22,That's so unfair.,Teddy,0.0
5405,1,23,Hey dad.,PJ,0.0
5406,1,24,"Uh, I gotta tell you something.",PJ,0.0
5407,1,25,"What? Well, I was pulling into the garage.",PJ,0.0
5408,1,26,And I kind of scraped the bug truck.,PJ,0.0
5409,1,27,Instead of 'Bob's bugs be gone' it now says 'Rob's rugs be gone.,PJ,1.0
5410,1,28,"' P.J.! Yeah, dad? Try and be more careful.",Bob,0.0
5411,1,29,That's it? He gets 'try and be more careful' and I get my phone taken away? Unbelievable! Whoa.,Teddy,0.0
5412,1,30,"She's a handful, eh, Rob?",PJ,0.0
5413,2,0,"Hey, guys, see you later.",PJ,0.0
5414,2,1,"Are you taking Charlie somewhere? Yes, to the mall.",Teddy,0.0
5415,2,2,We're going to go shopping.,PJ,0.0
5416,2,3,Shopping for what? Girls.,PJ,0.0
5417,2,4,They just can't resist our adorable little sister.,PJ,0.0
5418,2,5,I can't believe you'd use Charlie as girl bait.,Teddy,0.0
5419,2,6,"Oh, let him do it.",Gabe,0.0
5420,2,7,"Without charm or personality, it's his only play.",Gabe,1.0
5421,2,8,Thank you.,PJ,0.0
5422,2,9,"All right, just have Charlie back by 3:00.",Teddy,0.0
5423,2,10,I'm taking her to a birthday party at Otto's grotto.,Teddy,0.0
5424,2,11,"Oh, no problem.",PJ,0.0
5425,2,12,Shouldn't take long.,PJ,0.0
5426,2,13,"Hey, Charlie, say that thing I taught you.",PJ,0.0
5427,2,14,I wuv P.J.,Charlie,1.0
5428,2,15,'Wuv'? She can say 'love.,Teddy,0.0
5429,2,16,"' I know, but 'wuv' gets me way more girls.",PJ,1.0
5430,3,0,Hey honey.,Amy,0.0
5431,3,1,Hey.,Gabe,0.0
5432,3,2,What's wrong? Nobody to play video tennis with.,Gabe,0.0
5433,3,3,All my friends are doing homework.,Gabe,0.0
5434,3,4,Or spending time with their families Losers.,Gabe,1.0
5435,3,5,I'll play with you.,Amy,0.0
5436,3,6,I think I'll go read a book.,Gabe,0.0
5437,3,7,You'd rather read a book.,Amy,0.0
5438,3,8,"Than play video games with your mom? Yeah, you're right.",Amy,0.0
5439,3,9,I'm gonna go take a nap.,Gabe,1.0
5440,3,10,"Gabe, I've played video games befo.",Amy,0.0
5441,3,11,I know what I'm doing.,Amy,0.0
5442,3,12,"Mom, that's the tv remote.",Gabe,0.0
5443,3,13,Which I'm moving out of the way.,Amy,0.0
5444,3,14,So that I can pick up a controller.,Amy,0.0
5445,3,15,"All right, serve it up, Sonny boy.",Amy,0.0
5446,3,16,Fine.,Gabe,0.0
5447,3,17,This won't be any fun.,Gabe,0.0
5448,3,18,"Okay, are you ready? Go for it.",Gabe,0.0
5449,3,19,"Wow, this might be more fun than I thought.",Gabe,1.0
5450,4,0,"Where's Charlie? Where'd Charlie go? Oh, there she is.",Teddy,0.0
5451,4,1,There she is.,Teddy,0.0
5452,4,2,Yeah yeah yeah.,Teddy,0.0
5453,4,3,"Oh, wow.",Teddy,0.0
5454,4,4,Maybe we should put that back.,Teddy,0.0
5455,4,5,Mine.,Charlie,0.0
5456,4,6,"Well, they probably won't miss one ball.",Teddy,0.0
5457,4,7,I count every ball every night! Can you zip me up? No.,Others,1.0
5458,4,8,"No, thank you.",Teddy,0.0
5459,4,9,The girl that usually plays the mermaid she quit on me.,Others,0.0
5460,4,10,She's now the Pickle at hamburger Hank's.,Others,0.0
5461,4,11,"Well, you knew her when.",Teddy,0.0
5462,4,12,That Hank is k*ll me.,Others,0.0
5463,4,13,With his fancy minimum wage.,Others,0.0
5464,4,14,"I can't believe I'm about to say this, but I could use a job.",Teddy,0.0
5465,4,15,"Okay, slow it down.",Others,0.0
5466,4,16,It takes three things to work at Otto's grotto.,Others,0.0
5467,4,17,One you gotta be 16.,Others,0.0
5468,4,18,I am.,Teddy,0.0
5469,4,19,"Two you gotta be good with kids, which basically means willing to clean up their puke.",Others,0.0
5470,4,20,"'I am,' she said less excitedly.",Teddy,1.0
