id,Dialogue_id,Utterance_id,Sentence,Speaker,Label
17259,1,0,"Good morning, everybody.",Teddy,0
17260,1,1,"Oh, Teddy, there you are.",Amy,0
17261,1,2,"Look, I am slammed today, so I need you to watch the kids after school.",Amy,0
17262,1,3,"Oh, mom, I can't.",Teddy,0
17263,1,4,I have to go to the Mall.,Teddy,0
17264,1,5,"Ah, ah, ah, ah just stop right there.",Amy,0
17265,1,6,"For once, can't we just skip this little dance we always do? What dance? You know, the dance where I ask you to watch the kids and you say no.",Amy,0
17266,1,7,Then I ask the boys and they say they're not responsible or not smart.,Amy,0
17267,1,8,Then I ask your dad and he pretends not to be listening.,Amy,0
17268,1,9,And then we're back to you.,Amy,0
17269,1,10,I really need new shoes.,Teddy,0
17270,1,11,Boys? ,Amy,0
17271,1,12,I'm not responsible.,Gabe,0
17272,1,13,Me not smart.,PJ,0
17273,1,14,"Bob? I'm sorry, what? And we're back to you.",Amy,0
17274,1,15,"Fine, I'll go to the Mall and then I'll just come home afterwards.",Teddy,0
17275,1,16,"What do we at this point in the dance? Oh, you leave, call Ivy, and complain about mom.",Gabe,0
17276,1,17,You stay and complain about Teddy.,Gabe,0
17277,1,18,Sounds good.,Teddy,0
17278,1,19,Works for me.,Amy,0
17279,1,20,"Ivy, you will not believe what just happened.",Teddy,0
17280,1,21,New shoes.,Amy,0
17281,1,22,Can you believe that girl?,Amy,0
17282,2,0,"Hey, good news, dad.",PJ,0
17283,2,1,This really cute girl in my cooking class is kind of into me.,PJ,0
17284,2,2,Really? Yeah.,Bob,0
17285,2,3,There's definitely been some sparks.,PJ,0
17286,2,4,And I'm not just talking about the trouble I had with my flambe.,PJ,1
17287,2,5,"Good for you, PJ.",Bob,0
17288,2,6,"Yeah, she's coming over tomorrow, and we're gonna cook If you know what I mean.",PJ,0
17289,2,7,"Ooh, going to get a little romantic, huh? No, we're gonna make chicken.",Bob,0
17290,2,8,"And when we're done, it'll be time for dessert If you know what I mean.",PJ,0
17291,2,9,I'm just gonna say I know what you mean.,Bob,0
17292,2,10,"Anyway, when she comes over, can you not be here? Why can't you just take her to your place? ",PJ,0
17293,2,11,"No, no, no, no see, the plan is; Make sure she's into me, then show her the apartment.",PJ,0
17294,2,12,"If she's still in after that, then she meets Emmett.",PJ,0
17295,2,13,"If she's still in after that Well, that's never happened.",PJ,0
17296,2,14,What are you doing? Why are you reading? You know you'd rather be watching TV.,Gabe,0
17297,2,15,Can I Ooh.,Bob,0
17298,2,16,"Hey, Jake, big problem.",Gabe,0
17299,2,17,Something's come back to bite us in the butt.,Gabe,0
17300,3,0,"Hey, Ivy.",Teddy,0
17301,3,1,I got the shoes.,Teddy,0
17302,3,2,They're gorgeous.,Teddy,0
17303,3,3,"Well, yeah, of course they're uncomfortable, I said they're gorgeous.",Teddy,0
17304,3,4,Unbelievable.,Teddy,0
17305,3,5,"My mom said she had such a busy day, and now she's at the food court.",Teddy,0
17306,3,6,Hold I'll call you back.,Teddy,0
17307,3,7,"Well, fancy seeing you here.",Teddy,0
17308,3,8,Pardon me? - What's with this ridiculous hat? Aunt Jamie? ,Teddy,0
17309,3,9,Teddy? ,Others,0
17310,3,10,Hi.,Teddy,0
17311,3,11,Hi.,Others,0
17312,3,12,"Oh, I'm so sorry.",Teddy,0
