id,Dialogue_id,Utterance_id,Sentence,Speaker,Label
16519,1,0,(Video game noises) ,Amy,0
16520,1,1,Ga Gabe? I asked you to take your clothes upstairs.,Amy,0
16521,1,2,"Yeah, I said I would.",Gabe,1
16522,1,3,I just didn't say when.,Gabe,1
16523,1,4,"I don't get you sometimes, you know? I wash your clothes.",Amy,0
16524,1,5,I dry them.,Amy,0
16525,1,6,I fold them.,Amy,0
16526,1,7,I put them in the basket.,Amy,0
16527,1,8,All I ask is that you take them upstairs.,Gabe,0
16528,1,9,I see what's going on here.,Gabe,0
16529,1,10,Somebody needs a pat on the back.,Gabe,0
16530,1,11,"Hey, you're doing great, mom.",Gabe,0
16531,1,12,Clothes upstairs now.,Gabe,0
16532,1,13,(Cellphone rings) ,Gabe,0
16533,1,14,Oh.,Gabe,0
16534,1,15,Hold that thought.,Gabe,0
16535,1,16,Hello.,Gabe,0
16536,1,17,"Oh, hey, Lauren.",Gabe,0
16537,1,18,"Yeah, how's it going? Oh, no, I'm not doing anything.",Gabe,0
16538,1,19,"Don't forget to take your Yeah, so what's up? Yeah, sure you're cute now.",Amy,1
16539,1,20,One day you'll disappoint me too.,Amy,1
16540,2,0,Hey! Want to hear some exciting news? Emmett and I are apartment sitting for the guy upstairs.,PJ,0
16541,2,1,We're taking care of his pet rats.,PJ,0
16542,2,2,And the exciting part is? Somebody trusts me and Emmett.,PJ,1
16543,2,3,With rats.,Teddy,0
16544,2,4,Live rats.,PJ,1
16545,2,5,"Wait, so you guys aren't going to be in your apartment tonight? That's right.",Teddy,0
16546,2,6,"Why? Well, I was kind of thinking about having a slumber party.",Teddy,0
16547,2,7,"See, tonight would be my anniversary with Spencer.",Teddy,0
16548,2,8,"But rather than sit around and mope, I was thinking I should have some fun with my girls.",Teddy,0
16549,2,9,And you want me to bring the rats over to liven up the festivities? Actually I was hoping I could have the slumber party at your apartment.,PJ,1
16550,2,10,"Oh, sure.",PJ,0
16551,2,11,No problem.,PJ,0
16552,2,12,Thanks.,Teddy,0
16553,2,13,"You know, we could do it here, it's just there's so many people around.",Teddy,0
16554,2,14,Mom? - That's the people I'm talking about.,Teddy,0
16555,3,0,Unbelievable! Unbelievable! ,Bob,0
16556,3,1,"Charlie, look at this.",Bob,0
16557,3,2,"I can't read, daddy.",Charlie,0
16558,3,3,I'm sorry.,Bob,1
16559,3,4,"Look, this is an ad For a new extermination company.",Bob,0
16560,3,5,"Vern Hardy, formerly of Bob's Bugs-Be-Gone Has opened Vern's Vermin-Be-Vanquished.",Bob,0
16561,3,6,Unbelievable.,Charlie,0
16562,3,7,(Phone rings) ,Bob,0
16563,3,8,(Chuckles) ,Bob,0
16564,3,9,"Hi, Vern.",Bob,0
16565,3,10,"Hey, what's new? Yeah.",Bob,0
16566,3,11,No no no no.,Bob,0
16567,3,12,I do accept your resignation.,Bob,0
16568,3,13,"Hey, this is how you repay me for 12 years of work, by stabbing me in the back? You I know k*ll bugs is an ugly business.",Bob,0
16569,3,14,I taught you that! ,Bob,1
16570,3,15,(Phone beeps) ,Bob,0
16571,3,16,(Sighs) Now what am I gonna do? Get someone else.,Bob,0
16572,3,17,"You know what? For someone who can't read, you're pretty smart.",Bob,1
16573,4,0,"Thanks for this, P.J.",Teddy,0
16574,4,1,"you know, tonight I just want to have fun And not even think about you-know-who and the fact that it's our you-know-what.",Teddy,0
16575,4,2,No problem.,PJ,0
16576,4,3,"Hey, you know, I think the last time you were here, was when I made that French dinner for you and Spencer.",Teddy,0
16577,4,4,Also known as you-know-who.,Teddy,1
16578,4,5,"That was for your anniversary, wasn't it? ",PJ,0
16579,4,6,And there's the you-know-what.,Teddy,0
16580,4,7,What were you going to show me? ,Teddy,0
16581,4,8,"Okay, first thing Don't touch the D.V.R.",PJ,0
16582,4,9,I'm recording a Yacky the Duck Marathon.,PJ,0
16583,4,10,Very important.,PJ,0
16584,4,11,"Also, plumbing can be tricky.",PJ,0
16585,4,12,Don't use the kitchen sink and the toilet at the same time.,PJ,0
16586,4,13,Bad things will happen.,PJ,0
16587,4,14,Okay.,Teddy,0
16588,4,15,Really bad things.,PJ,0
16589,4,16,This one time Emmett was ,PJ,0
16590,4,17,I don't need to know.,Teddy,0
16591,4,18,"Okay, uh you're welcome to anything in the fridge.",PJ,0
16592,4,19,There's not much in there.,PJ,0
16593,4,20,Just a banana.,PJ,0
16594,4,21,"Oh! Actually, don't touch the banana.",PJ,0
16595,4,22,That's Emmett's.,PJ,0
16596,4,23,Got it.,Teddy,0
16597,4,24,"Anything else? Uh, let's see Yacky, plumbing, banana nope.",PJ,0
16598,4,25,We're good.,PJ,0
16599,4,26,Thank you.,Teddy,0
16600,5,0,(Doorbell rings) ,Gabe,0
16601,5,1,"Hey, Lauren, come on in.",Gabe,0
16602,5,2,"Hi, Mrs.",Lauren,0
16603,5,3,Duncan.,Lauren,0
16604,5,4,Hi.,Lauren,0
16605,5,5,You must be Charlie.,Lauren,0
16606,5,6,Who are you? I'm Lauren.,Charlie,0
16607,5,7,I'm Mrs.,Lauren,0
16608,5,8,Dabney's granddaughter.,Lauren,0
